v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,voltage_V_node,combined_centrality_score_load,combined_centrality_score_gen,load_MW,generation_MW,load_pu,generation_pu,P_injection_pu,theta_pu
125,6.62582790177014,51.2606098249047,substation,220000.0,0.0146443514644351,0.0016066904477898,7.675236616580266e-05,0.0015817404071034,Severe,220000.0,0.1695523733122331,0.06299949117330995,172.98311081578217,0.0,1.7298311081578217,0.0,-1.7298311081578217,-0.012952865524765239
126,7.12308195236379,51.1715887782054,substation,380000.0,0.00418410041841,0.001321268967516,4.385849495188723e-06,0.0004953649371088,Moderate,380000.0,0.02607350744366368,0.025465061299999488,0.0,6.647006900754241,0.0,0.06647006900754242,0.06647006900754242,0.008827148594154269
127,6.80109333956604,51.1225390518584,substation,380000.0,0.006276150627615,0.0016072324852771,9.21028393989632e-05,0.0007893248971971,High,380000.0,0.1112732762649849,0.06307077196141408,0.0,16.46302168781447,0.0,0.16463021687814472,0.16463021687814472,0.010172431922947991
128,7.00877914033175,51.1742549180397,substation,380000.0,0.00418410041841,0.0018106127068696,3.947264545669851e-05,0.0005576914358877,High,380000.0,0.06479729403591765,0.08981634366000907,0.0,23.444273276051636,0.0,0.23444273276051636,0.23444273276051636,0.011730786315020135
129,6.8426506615144,50.8635385008881,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.012833226937563273
130,6.80461158012622,50.9662452961379,substation,220000.0,0.00836820083682,0.0021938311609835,5.263019394226468e-05,0.0009971696649716,Severe,220000.0,0.11978219898023042,0.14021159134178268,122.20588243727232,0.0,1.2220588243727233,0.0,-1.2220588243727233,0.006706731700159087
131,7.7186272145384,51.5342075115271,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.020669234022213642
132,7.93077008561427,51.6729710197069,substation,380000.0,0.00418410041841,0.0016066904477898,4.385849495188723e-06,0.0005146018835554,Moderate,380000.0,0.034835333195697524,0.06299949117330995,0.0,16.444415650120803,0.0,0.16444415650120803,0.16444415650120803,0.02607665121712898
133,6.22183144595687,51.6946456422206,substation,220000.0,0.002092050209205,0.0011276260770807,0.0,0.0002773228520463,Low,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699757861990208
134,7.00674987859998,51.5999114220203,generator,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.010509372751581512
135,6.66790549453027,50.9935747483722,generator,380000.0,0.006276150627615,0.0026519144217715,0.0,0.0007827027768301,High,380000.0,0.0811250524106364,0.2004519559131204,0.0,52.32288736820056,0.0,0.5232288736820057,0.5232288736820057,0.009900494928659036
136,7.2640834625924,51.5735734103802,substation,220000.0,0.0125523012552301,0.0011276260770807,0.0,0.0012839362371545,Severe,220000.0,0.08583169410459553,0.0,87.56842008610406,0.0,0.8756842008610406,0.0,-0.8756842008610406,0.006434637154200116
137,7.2789471130269,51.4722816773138,substation,220000.0,0.006276150627615,0.0016537193617566,1.3157548485566167e-05,0.000726430613783,High,220000.0,0.059370855043565054,0.06918404137468749,60.572170100598456,0.0,0.6057217010059845,0.0,-0.6057217010059845,0.008202058611868937
138,7.18667755311932,51.550589070577,generator,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.00932166188138041
139,7.35135784054859,51.568368608134,generator,380000.0,0.002092050209205,0.0012873142006504,0.0,0.0002880855734727,Low,380000.0,0.0049020820438769,0.020999830391103324,0.0,5.481471883373603,0.0,0.05481471883373603,0.05481471883373603,0.006690572059591087
140,7.17937912538938,51.4722019484347,substation,220000.0,0.0104602510460251,0.0016066904477898,1.3157548485566167e-05,0.0011259062950372,Severe,220000.0,0.09225984614475093,0.06299949117330995,94.12663991506041,0.0,0.9412663991506041,0.0,-0.9412663991506041,0.006667551993864691
141,6.93488869659333,51.0335223350589,substation,220000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,220000.0,0.017166338820918944,0.0,17.513684017220644,0.0,0.17513684017220643,0.0,-0.17513684017220643,0.00644624875041335
142,6.82813596908193,51.1626762413706,substation,220000.0,0.002092050209205,0.0016066904477898,0.0,0.0003096110163253,Low,220000.0,0.014706246131630695,0.06299949117330995,15.003813597981036,0.0,0.15003813597981036,0.0,-0.15003813597981036,0.002166020326441874
143,7.50597329671546,51.401592550355,substation,220000.0,0.00836820083682,0.0012397351189117,3.5086795961509786e-05,0.0009181923729977,Severe,220000.0,0.07864250894349709,0.014742930226320335,80.23376832568694,0.0,0.8023376832568694,0.0,-0.8023376832568694,-0.0031193690069794867
144,7.03761988504233,51.5985496311832,substation,220000.0,0.006276150627615,0.0011276260770807,0.0,0.0006799682060896,High,220000.0,0.03433267764183789,0.0,35.02736803444129,0.0,0.35027368034441286,0.0,-0.35027368034441286,0.008594301732730717
