l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
606.0,371.0,336.0,220000.0,3.0,1.6,50.0,39322.0,1.882304,12.573888,451.8741,92.06938
607.0,28.0,403.0,220000.0,3.0,1.8,50.0,4549.0,0.225528,1.5157760000000002,54.473200000000006,11.14386
608.0,30.0,28.0,220000.0,6.0,2.4,50.0,11530.0,0.370772,3.6885760000000003,132.5582,41.70868
609.0,28.0,404.0,220000.0,3.0,2.0,50.0,7031.0,0.27940000000000004,2.2352000000000003,80.32749999999999,18.161
610.0,404.0,403.0,220000.0,3.0,2.0,50.0,3107.0,0.116344,0.930752,33.4489,7.56236
611.0,394.0,348.0,380000.0,3.0,4.0,50.0,23540.0,0.131932,5.8602,321.13896,292.28368
612.0,405.0,348.0,380000.0,3.0,3.4,50.0,48409.0,0.3852522,12.14055,665.30214,428.75455999999997
613.0,281.0,406.0,220000.0,3.0,1.6,50.0,36610.0,2.080088,11.857215999999998,426.1187,76.90696
614.0,281.0,406.0,220000.0,3.0,1.6,50.0,36533.0,2.080088,11.857215999999998,426.1187,76.90696
615.0,407.0,406.0,220000.0,3.0,2.2,50.0,24409.0,1.082244,7.860352000000001,282.4814,70.17192
616.0,407.0,406.0,220000.0,3.0,2.2,50.0,24482.0,1.082244,7.860352000000001,282.4814,70.17192
617.0,6.0,290.0,220000.0,3.0,2.4,50.0,14726.0,0.535796,4.740095999999999,170.3472,45.88636
618.0,215.0,408.0,300000.0,3.0,2.6,0.0,189551.0,4.1198196000000005,55.108414,2550.18818,1144.72124
619.0,215.0,409.0,300000.0,3.0,2.6,0.0,189505.0,4.1198196000000005,55.108414,2550.18818,1144.72124
620.0,310.0,392.0,220000.0,3.6,1.8,50.0,112455.0,5.2311894,36.17568,1300.0635000000002,287.94974
621.0,310.0,392.0,380000.0,3.0,3.6,50.0,113434.0,0.84611,28.207549999999998,1545.7737399999999,1056.1876
622.0,24.0,261.0,220000.0,3.0,1.0,50.0,63310.0,5.0648,20.2592,728.065,82.303
623.0,218.0,223.0,220000.0,6.0,1.8,50.0,12509.0,0.48970400000000003,3.9176320000000002,140.7899,31.830760000000005
624.0,410.0,54.0,220000.0,3.0,2.0,50.0,37257.0,1.9517639999999996,12.053631999999999,433.17740000000003,98.37672
625.0,410.0,300.0,380000.0,3.0,4.0,50.0,45271.0,0.28323780000000004,11.3295,620.8565999999998,471.3072
626.0,411.0,54.0,220000.0,5.4,2.0,50.0,3086.0,0.116344,0.930752,33.4489,7.56236
627.0,275.0,294.0,220000.0,6.0,2.0,50.0,46045.0,0.9209,14.7344,529.5175,239.434
628.0,412.0,50.0,220000.0,6.0,2.0,50.0,2842.0,0.11133599999999999,0.8906879999999999,32.009100000000004,7.236840000000001
629.0,214.0,154.0,380000.0,3.0,4.0,50.0,26549.0,0.165931,6.63725,363.7213,276.1096
630.0,288.0,234.0,220000.0,6.0,2.0,50.0,3637.0,0.127216,1.017728,36.574600000000004,8.26904
631.0,288.0,413.0,220000.0,6.0,2.0,50.0,2421.0,0.09138399999999999,0.7907200000000001,28.416500000000003,7.39388
632.0,268.0,331.0,220000.0,3.0,2.0,50.0,18210.0,0.7284,5.8272,209.415,47.346
633.0,287.0,414.0,220000.0,3.0,1.0,50.0,38821.0,3.10568,12.42272,446.4415,50.4673
634.0,268.0,315.0,380000.0,3.0,4.0,50.0,30264.0,0.1708844,7.5786,415.30728,377.10607999999996
635.0,50.0,51.0,380000.0,3.0,4.0,50.0,120873.0,0.755456,30.21825,1655.9601,1257.0792
636.0,248.0,358.0,220000.0,3.0,2.0,50.0,484.0,0.01936,0.15488,5.566,1.2584
637.0,248.0,359.0,220000.0,3.0,2.0,50.0,1110.0,0.0444,0.3552,12.765,2.886
638.0,50.0,415.0,380000.0,3.0,4.0,50.0,802.0,0.005013,0.2005,10.9874,8.3408
639.0,268.0,62.0,380000.0,3.0,3.0,50.0,81702.0,0.68085,20.4255,1119.3174,637.2756
640.0,58.0,157.0,380000.0,3.0,4.0,50.0,207.0,0.0018363999999999998,0.07344999999999999,4.025060000000001,3.05552
641.0,58.0,157.0,380000.0,3.0,4.0,50.0,177.0,0.0012926,0.0517,2.83316,2.15072
642.0,156.0,158.0,220000.0,3.0,2.4,50.0,143.0,0.007896,0.072896,2.6197000000000004,0.75036
643.0,156.0,158.0,220000.0,3.0,2.4,50.0,113.0,0.007896,0.072896,2.6197000000000004,0.7503599999999999
644.0,16.0,380.0,380000.0,3.0,4.0,50.0,26176.0,0.1636,6.544,358.6112,272.2304
