l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max,V_base_kV_line,Z_base_ohms_line,x_pu,I_th_max_kA,P_th_max_MVA_line,P_th_max_pu_line
346.0,76,107,380000.0,3.0,4.0,50.0,33322.0,0.208263,8.3305,456.5114,346.5488,380.0,1444.0,0.00576904432132964,0.34654880000000005,228.09124898276963,2.2809124898276965
347.0,258,116,220000.0,3.0,2.0,50.0,15774.0,0.63096,5.04768,181.401,41.0124,220.0,484.0,0.010429090909090909,0.0410124,15.627823318874318,0.15627823318874318
348.0,259,260,220000.0,3.0,2.0,50.0,1562.0,0.06248,0.49984,17.963,4.0612,220.0,484.0,0.0010327272727272728,0.0040612,1.5475250427337193,0.015475250427337193
349.0,35,36,220000.0,3.0,2.0,50.0,2641.0,0.10564,0.84512,30.3715,6.8666,220.0,484.0,0.0017461157024793387,0.0068666,2.616526016555539,0.02616526016555539
350.0,261,262,220000.0,3.0,1.6,50.0,39544.0,1.7302519999999997,12.621376,453.5807,112.99366,220.0,484.0,0.02607722314049587,0.11299366000000001,43.05636721169589,0.43056367211695895
351.0,261,263,220000.0,3.0,1.8,50.0,35433.0,1.554588,11.140351999999998,400.3564,98.4867,220.0,484.0,0.023017256198347102,0.0984867,37.52847301935462,0.3752847301935462
352.0,124,264,220000.0,3.0,2.0,50.0,5234.0,0.20936,1.67488,60.191,13.6084,220.0,484.0,0.003460495867768595,0.0136084,5.185496846138467,0.051854968461384675
353.0,124,265,380000.0,3.0,4.0,50.0,16953.0,0.105956,4.23825,232.2561,176.3112,380.0,1444.0,0.0029350761772853184,0.1763112,116.04438341050637,1.1604438341050638
354.0,34,266,220000.0,3.0,1.0,50.0,627.0,0.05016,0.20064,7.2105,0.8151,220.0,484.0,0.00041454545454545455,0.0008151,0.3105948149148662,0.0031059481491486616
355.0,34,35,220000.0,3.0,2.0,50.0,5844.0,0.23376,1.87008,67.206,15.1944,220.0,484.0,0.003863801652892562,0.0151944,5.789844013915401,0.05789844013915401
356.0,37,40,380000.0,3.0,3.0,50.0,37592.0,0.313267,9.398,515.0104,293.2176,380.0,1444.0,0.006508310249307479,0.2932176,192.98975673189506,1.9298975673189505
357.0,20,22,380000.0,3.0,4.0,50.0,57421.0,0.358881,14.35525,786.6677,597.1784,380.0,1444.0,0.009941308864265927,0.5971784,393.0504653934222,3.930504653934222
358.0,20,21,380000.0,3.0,2.0,50.0,31281.0,0.391012,7.82025,428.5497,162.6612,380.0,1444.0,0.005415685595567867,0.1626612,107.06023587164661,1.0706023587164661
359.0,37,267,220000.0,3.0,2.0,50.0,20287.0,0.81148,6.49184,233.3005,52.7462,220.0,484.0,0.013412892561983471,0.0527462,20.09900162736169,0.2009900162736169
360.0,37,267,220000.0,3.0,2.0,50.0,20290.0,0.8116,6.4928,233.335,52.754,220.0,484.0,0.01341487603305785,0.052753999999999995,20.10197382654748,0.20101973826547478
361.0,37,42,220000.0,3.0,2.0,50.0,194536.0,7.78144,62.25152,2237.164,505.7936,220.0,484.0,0.12861884297520662,0.5057936000000001,192.73324693549733,1.9273324693549734
362.0,37,42,220000.0,3.0,2.0,50.0,194590.0,7.7836,62.2688,2237.785,505.934,220.0,484.0,0.12865454545454547,0.505934,192.78674652084152,1.9278674652084151
363.0,180,178,220000.0,3.0,2.0,50.0,26213.0,1.04852,8.38816,301.4495,68.1538,220.0,484.0,0.017330909090909088,0.0681538,25.970085752355303,0.25970085752355304
364.0,268,269,380000.0,3.0,4.0,50.0,83081.0,0.519256,20.77025,1138.2097,864.0424,380.0,1444.0,0.014383829639889198,0.8640424,568.6948279436253,5.686948279436254
365.0,268,269,380000.0,3.0,4.0,50.0,83072.0,0.5192,20.768,1138.0864,863.9488,380.0,1444.0,0.014382271468144045,0.8639488,568.6332223605017,5.686332223605017
366.0,268,270,220000.0,3.0,3.0,50.0,98494.0,2.626507,31.51808,1132.681,384.1266,220.0,484.0,0.06512,0.3841266,146.37189330251115,1.4637189330251115
